炉号,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂
7A06770             ,HRB400B    ,1641,0.00051,0.0007,0.00025,0.00014,0.003,68100,0.0024,0.0128,0.00028,0.00017,0.0036,0.466,0.0017,0.005,0.011,0.033,0.0051,0.0028,0.0034,0,0,4,0,0,41,50,0,0,200,0,0,85,0,1330,132,0
7A06769             ,HRB400B    ,1682,0.00065,0.0011,0.00022,0.0003,0.003,74850,0.0022,0.013,0.00025,0.00031,0.0035,0.455,0.0028,0.02,0.015,0.032,0.004,0.0018,0.0131,0,0,4,0,0,40,25,0,0,200,0,0,75,0,1310,132,0
7A06768             ,HRB400B    ,1658,0.0007,0.001,0.00025,0.00035,0.003,74550,0.0023,0.0134,0.00028,0.00031,0.0037,0.466,0.0021,0.004,0.01,0.032,0.005,0.0028,0.0032,0,0,4,0,0,41,25,0,0,200,0,0,68,0,1340,132,0
7A06766             ,HRB400B    ,1688,0.00075,0.0012,0.00024,0.00035,0,63500,0.0022,0.0133,0.00024,0.00035,0.0037,0.455,0.0024,0.005,0.011,0.031,0.0046,0.0024,0.0034,0,0,4,0,0,40,25,0,0,200,0,0,68,0,1300,132,0
7A06765             ,HRB400B    ,1666,0.0006,0.0009,0.00026,0.00018,0.003,73350,0.0023,0.0129,0.00026,0.00021,0.0037,0.457,0.0021,0.004,0.01,0.032,0.0044,0.0022,0.0026,0,0,4,0,0,40,25,0,0,200,0,0,95,0,1300,132,0
7A06763             ,HRB400B    ,1648,0.00053,0.0009,0.00023,0.00013,0.003,75800,0.0023,0.0131,0.00027,0.00019,0.0037,0.46,0.0018,0.004,0.01,0.032,0.0046,0.0024,0.0029,0,0,4,0,0,40,50,0,0,200,0,0,80,0,1300,132,0
7A06761             ,HRB400B    ,1803,0.0004,0.0008,0.00025,0.00016,0.003,77200,0.0023,0.0129,0.0003,0.00022,0.0036,0.457,0.002,0.005,0.01,0.032,0.004,0.0018,0.0035,0,0,5,0,0,41,50,0,0,200,0,0,90,0,1300,132,0
7A06760             ,HRB400B    ,1802,0.00034,0.0008,0.00027,0.00022,0.003,71900,0.0023,0.0129,0.0003,0.00024,0.0037,0.457,0.0019,0.005,0.01,0.032,0.0053,0.003,0.0031,0,0,4,0,0,39,50,0,0,200,0,0,92,0,1300,132,0
7A06759             ,HRB400B    ,1645,0.0004,0.0011,0.00033,0.00037,0.003,72200,0.0023,0.013,0.00029,0.00022,0.0035,0.458,0.0018,0.004,0.01,0.032,0.0038,0.0016,0.0027,0,0,4,0,0,39,50,0,0,200,0,0,93,0,1300,132,0
7A06758             ,HRB400B    ,1665,0.00077,0.0011,0.00029,0.00015,0.003,72050,0.0024,0.0129,0.00031,0.00022,0.0037,0.467,0.0019,0.005,0.011,0.032,0.0047,0.0024,0.0031,0,0,4,0,0,39,25,0,0,0,0,0,68,1460,0,88,0
7A06757             ,HRB400B    ,1655,0.00073,0.0012,0.00027,0.00024,0.003,75100,0.0023,0.013,0.00027,0.00023,0.0038,0.459,0.002,0.005,0.011,0.033,0.0054,0.0031,0.0028,0,0,5,0,0,40,25,0,0,0,0,0,68,1503,0,88,0
7A06756             ,HRB400B    ,1651,0.00063,0.0013,0.00026,0.00025,0.003,74350,0.0024,0.0139,0.00028,0.00028,0.004,0.484,0.0022,0.005,0.012,0.032,0.0085,0.0061,0.0025,0,0,32,0,0,0,0,50,0,0,0,0,68,1596,0,132,0
7A06755             ,HRB400B    ,1672,0.001,0.0014,0.00025,0.0002,0.003,74250,0.0024,0.0134,0.00028,0.00027,0.0039,0.475,0.0019,0.004,0.009,0.032,0.0081,0.0057,0.0025,0,0,31,0,0,0,0,25,0,0,0,0,34,1534,0,132,0
7A06754             ,HRB400B    ,1678,0.00086,0.0016,0.00027,0.00029,0.003,75800,0.0023,0.0128,0.00027,0.00028,0.0035,0.455,0.002,0.005,0.01,0.032,0.004,0.0018,0.0027,0,0,5,0,0,40,0,0,0,0,0,0,68,1538,0,88,20
7A06753             ,HRB400B    ,1679,0.00091,0.0012,0.00021,0.0003,0.003,78800,0.0024,0.0128,0.00026,0.00025,0.0035,0.465,0.0019,0.006,0.01,0.032,0.0081,0.0057,0.0022,0,0,5,0,0,42,0,0,0,0,0,0,51,1547,0,132,20
7A06752             ,HRB400B    ,1673,0.00083,0.0012,0.0003,0.00026,0.003,68150,0.0024,0.0129,0.00029,0.00027,0.0037,0.467,0.0021,0.005,0.011,0.032,0.0051,0.0028,0.0026,0,0,4,0,0,36,0,0,0,0,0,0,51,0,1348,132,20
7A06751             ,HRB400B    ,1675,0.00065,0.0009,0.00024,0.00017,0.003,75300,0.0023,0.0137,0.00032,0.00021,0.0042,0.471,0.0022,0.007,0.01,0.033,0.0039,0.0017,0.0033,0,0,31,0,0,0,0,50,0,0,0,0,85,0,1539,132,0
7A06750             ,HRB400B    ,1691,0.00074,0.0012,0.00024,0.00024,0.003,74300,0.0022,0.0136,0.00034,0.00028,0.004,0.46,0.0025,0.007,0.009,0.032,0.005,0.0027,0.003,0,0,31,0,0,0,25,0,0,0,0,0,68,0,1470,88,0
7A06749             ,HRB400B    ,1661,0.00099,0.0011,0.0003,0.0002,0.002,76150,0.0024,0.013,0.00034,0.00024,0.0035,0.469,0.0023,0.008,0.011,0.032,0.0039,0.0017,0.0025,0,0,5,0,0,41,0,0,0,0,0,0,51,0,1531,88,20
7A06748             ,HRB400B    ,1678,0.00033,0.0008,0.00029,0.00017,0.002,73500,0.0024,0.0132,0.00029,0.00025,0.0033,0.473,0.0021,0.005,0.014,0.034,0.0048,0.0025,0.0035,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1515,88,0
7A06747             ,HRB400B    ,1676,0.00039,0.0009,0.00026,0.00025,0.002,75200,0.0023,0.0135,0.00028,0.00031,0.0035,0.467,0.002,0.006,0.012,0.033,0.0046,0.0024,0.0031,0,0,5,0,0,40,50,0,0,0,0,0,85,0,1600,88,0
7A06746             ,HRB400B    ,1672,0.00033,0.0009,0.00024,0.0003,0.002,75950,0.0022,0.0134,0.00028,0.00031,0.0037,0.456,0.0023,0.006,0.013,0.033,0.0045,0.0023,0.0032,0,0,5,0,0,41,50,0,0,0,0,0,102,0,1539,88,0
7A06745             ,HRB400B    ,1715,0.00022,0.0007,0.00026,0.0003,0.003,70050,0.0022,0.0129,0.00029,0.00032,0.0036,0.447,0.002,0.005,0.014,0.033,0.0045,0.0022,0.0028,0,0,30,0,0,0,50,0,0,0,0,0,102,0,1441,88,0
7A06744             ,HRB400B    ,1629,0.00051,0.001,0.00028,0.00033,0.003,75600,0.0023,0.0132,0.00029,0.00026,0.0038,0.463,0.0021,0.006,0.014,0.034,0.0084,0.006,0.0029,0,0,6,0,0,40,50,0,0,0,0,0,102,0,3105,132,0
7A06743             ,HRB400B    ,1645,0.00047,0.001,0.00021,0.00022,0.002,73900,0.0023,0.013,0.00028,0.00025,0.0038,0.46,0.0023,0.006,0.013,0.034,0.0044,0.0022,0.003,0,0,5,0,0,40,50,0,0,0,0,0,80,0,1450,132,0
7A06742             ,HRB400B    ,1703,0.0004,0.0012,0.00021,0.00029,0.002,73800,0.0023,0.0128,0.00023,0.00029,0.0037,0.456,0.0021,0.006,0.012,0.035,0.0051,0.0028,0.0028,0,0,5,0,0,40,50,0,0,0,0,0,70,0,1500,132,0
7A06741             ,HRB400B    ,1674,0.00056,0.0012,0.00021,0.00023,0.003,66300,0.0023,0.0145,0.00023,0.00032,0.0039,0.486,0.0027,0.005,0.011,0.036,0.0052,0.0029,0.0033,0,0,5,0,0,40,50,0,0,0,0,0,58,0,1450,132,0
7A06740             ,HRB400B    ,1684,0.00041,0.001,0.00026,0.0003,0.003,72800,0.0023,0.0129,0.00028,0.00031,0.0036,0.458,0.0024,0.007,0.012,0.032,0.0052,0.0029,0.0026,0,0,5,0,0,40,50,0,0,0,0,0,78,0,1450,132,0
7A06739             ,HRB400B    ,1686,0.001,0.0012,0.00032,0.00014,0.002,70000,0.0023,0.013,0.0003,0.0003,0.0036,0.46,0.0025,0.005,0.013,0.033,0.0045,0.0023,0.0032,0,0,5,0,0,40,0,0,0,0,0,0,40,0,1450,132,20
7A06738             ,HRB400B    ,1667,0.00045,0.001,0.00034,0.00028,0.002,71200,0.0023,0.013,0.00032,0.00028,0.0037,0.46,0.0024,0.007,0.012,0.033,0.0052,0.0029,0.0027,0,0,5,0,0,40,50,0,0,0,0,0,78,0,1480,132,0
7A06737             ,HRB400B    ,1651,0.0005,0.001,0.00029,0.00033,0.002,66600,0.0024,0.0128,0.0003,0.00034,0.0036,0.467,0.0027,0.007,0.014,0.032,0.0045,0.0022,0.0031,0,0,5,0,0,40,50,0,0,0,0,0,78,0,1450,132,0
7A06736             ,HRB400B    ,1666,0.00085,0.0011,0.00024,0.00023,0.002,74200,0.0023,0.0134,0.00029,0.00031,0.0038,0.467,0.0028,0.007,0.015,0.032,0.0057,0.0034,0.0027,0,0,5,0,0,40,25,0,0,0,0,0,51,0,1570,132,0
7A06735             ,HRB400B    ,1609,0.00062,0.0009,0.00029,0.00022,0.003,73100,0.0022,0.0132,0.00029,0.00023,0.0037,0.454,0.0024,0.007,0.014,0.033,0.0044,0.0021,0.0032,0,0,5,0,0,40,50,0,0,0,0,0,85,0,1580,132,0
7A06734             ,HRB400B    ,1656,0.00071,0.0011,0.00017,0.00016,0.003,73900,0.0024,0.0135,0.0003,0.00031,0.0039,0.479,0.0027,0.007,0.016,0.033,0.004,0.0018,0.0033,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1580,132,0
7A06733             ,HRB400B    ,1655,0.00065,0.0011,0.00028,0.00029,0.002,72650,0.0023,0.0132,0.00031,0.00025,0.0038,0.464,0.0026,0.006,0.015,0.033,0.0039,0.0017,0.0033,0,0,4,0,0,40,25,0,0,0,0,0,68,0,1540,132,0
7A06732             ,HRB400B    ,1666,0.00078,0.0011,0.0003,0.00031,0.002,64700,0.0024,0.013,0.00035,0.00036,0.0038,0.471,0.0034,0.009,0.013,0.032,0.0044,0.0021,0.0017,0,0,4,0,0,40,25,0,0,0,0,0,68,0,1460,132,0
7A06731             ,HRB400B    ,1665,0.00097,0.0016,0.00027,0.00014,0.003,74600,0.0024,0.0125,0.00038,0.00022,0.0037,0.461,0.0023,0.008,0.011,0.033,0.0044,0.0022,0.0025,0,0,5,0,0,39,25,0,0,0,0,0,51,0,1520,132,0
7A06729             ,HRB400B    ,1691,0.00058,0.0011,0.00031,0.00023,0,71500,0.0023,0.0129,0.0003,0.00026,0.0036,0.457,0.0021,0.005,0.011,0.033,0.0045,0.0022,0.003,0,0,4,0,0,37,50,0,0,0,0,0,85,0,1420,132,0
7A06728             ,HRB400B    ,1725,0.00047,0.0011,0.00025,0.00026,0.004,79850,0.0024,0.013,0.00027,0.00042,0.0033,0.47,0.0027,0.006,0.012,0.032,0.0039,0.0017,0.0028,0,0,30,0,0,0,0,50,0,0,0,0,102,0,1520,132,0
7A06727             ,HRB400D    ,1703,0.00082,0.0013,0.00027,0.00031,0.002,67450,0.0022,0.0131,0.00029,0.00033,0.0037,0.452,0.0027,0.006,0.013,0.031,0.0062,0.0039,0.0029,0,0,7,0,0,28,25,0,0,0,0,0,51,0,1410,132,0
7A06726             ,HRB400D    ,1687,0.00066,0.0012,0.00025,0.00027,0.003,75150,0.0023,0.0132,0.00029,0.00029,0.0038,0.463,0.0027,0.006,0.014,0.03,0.0067,0.0044,0.0032,0,0,9,0,0,30,50,0,0,0,0,0,68,0,1520,132,0
7A06725             ,HRB400D    ,1665,0.00071,0.0008,0.0003,0.00018,0.002,76000,0.0024,0.0137,0.00027,0.00031,0.0039,0.482,0.0029,0.007,0.016,0.03,0.0059,0.0036,0.003,0,0,9,0,0,30,25,0,0,0,0,0,68,0,1580,132,0
7A06724             ,HRB400D    ,1639,0.00074,0.0011,0.00023,0.0002,0.002,73750,0.0023,0.0132,0.00027,0.00028,0.0038,0.465,0.0033,0.007,0.017,0.029,0.0046,0.0024,0.0033,0,0,9,0,0,28,25,0,0,0,0,0,68,0,1470,132,0
7A06723             ,HRB400B    ,1689,0.00073,0.0005,0.00025,0.00016,0.003,71300,0.0023,0.0133,0.00028,0.0002,0.0037,0.466,0.0023,0.01,0.019,0.034,0.0049,0.0027,0.0037,0,0,4,0,0,38,50,0,0,0,0,0,68,0,1480,132,0
7A06722             ,HRB400B    ,1653,0.00068,0.001,0.00026,0.00029,0.002,74450,0.0023,0.013,0.00028,0.00032,0.0037,0.462,0.0031,0.008,0.016,0.033,0.0046,0.0024,0.0035,0,0,4,0,0,39,50,0,0,0,0,0,68,0,1440,132,0
7A06721             ,HRB400B    ,1664,0.00072,0.0011,0.00027,0.00027,0.002,70500,0.0024,0.0128,0.0003,0.00028,0.0037,0.468,0.003,0.01,0.017,0.032,0.0052,0.0029,0.0036,0,0,4,0,0,38,50,0,0,0,0,0,68,0,1450,132,0
7A06720             ,HRB400B    ,1678,0.00068,0.0009,0.00029,0.00028,0.003,71550,0.0023,0.0129,0.00031,0.00031,0.0036,0.46,0.0033,0.01,0.014,0.033,0.005,0.0027,0.0034,0,0,4,0,0,38,50,0,0,0,0,0,68,0,1420,132,0
7A06719             ,HRB400B    ,1666,0.0007,0.001,0.00026,0.0002,0.002,72150,0.0024,0.0129,0.00029,0.00025,0.0036,0.471,0.003,0.008,0.017,0.032,0.0042,0.002,0.0042,0,0,4,0,0,38,25,0,0,0,0,0,68,0,1420,132,0
7A06717             ,HRB400B    ,1682,0.00067,0.0011,0.00022,0.00017,0.002,72000,0.0024,0.0135,0.00026,0.00029,0.0034,0.48,0.003,0.009,0.019,0.032,0.0053,0.003,0.0039,0,0,4,0,0,38,25,0,0,0,0,0,68,0,1400,132,0
7A06716             ,HRB400B    ,1674,0.00076,0.0012,0.00024,0.00019,0.002,73200,0.0024,0.013,0.00026,0.00022,0.0037,0.471,0.0028,0.008,0.015,0.034,0.0045,0.0023,0.0035,0,0,5,0,0,39,25,0,0,0,0,0,68,0,1440,132,0
7A06715             ,HRB400B    ,1804,0.00066,0.001,0.00027,0.00014,0.002,73200,0.0024,0.0131,0.00029,0.00019,0.0037,0.472,0.0024,0.006,0.015,0.034,0.0047,0.0025,0.0034,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1440,132,0
7A06714             ,HRB400B    ,1673,0.00059,0.001,0.00034,0.0002,0.002,71350,0.0023,0.0133,0.00033,0.00022,0.0038,0.465,0.0023,0.005,0.013,0.032,0.0048,0.0025,0.0031,0,0,4,0,0,39,50,0,0,0,0,0,95,0,1440,132,0
7A06713             ,HRB400B    ,1682,0.00042,0.0013,0.00032,0.00038,0.002,71800,0.0024,0.0143,0.00032,0.00033,0.004,0.491,0.0021,0.006,0.015,0.034,0.0054,0.0032,0.0029,0,0,4,0,0,39,50,0,0,0,0,0,92,0,1600,132,0
7A06712             ,HRB400B    ,0,0.00054,0.0009,0.00029,0.00017,0.003,69350,0.0022,0.013,0.00031,0.00025,0.0035,0.45,0.0019,0.006,0.013,0.036,0.006,0.0037,0.0043,0,0,31,0,0,0,50,0,0,0,0,0,80,0,1390,132,0
7A06711             ,HRB400B    ,1672,0.00072,0.0012,0.0003,0.00023,0.003,73550,0.0023,0.0129,0.00028,0.00027,0.0037,0.459,0.0023,0.009,0.013,0.035,0.0059,0.0037,0.0037,0,0,4,0,0,39,25,0,0,0,0,0,68,0,1430,132,0
7A06709             ,Q345B      ,1683,0.00071,0.001,0.00029,0.00022,0,73000,0.0018,0.0132,0.00023,0.00026,0.003,0.411,0.0021,0.007,0.015,0.026,0.0052,0.0032,0.003,0,0,23,0,0,0,0,75,0,0,0,0,68,0,1470,0,0
7A06708             ,HRB400B    ,1657,0.00048,0.0011,0.00026,0.00033,0.003,72650,0.0024,0.0142,0.00029,0.00034,0.0041,0.49,0.0025,0.006,0.013,0.033,0.0047,0.0025,0.004,0,0,4,0,0,40,50,0,0,200,0,0,85,0,1300,132,0
7A06707             ,HRB400B    ,1679,0.00041,0.0012,0.00022,0.00033,0.003,73750,0.0024,0.0135,0.00029,0.00041,0.0036,0.478,0.0023,0.006,0.013,0.031,0.0054,0.0031,0.0031,0,0,4,0,0,40,50,0,0,200,0,0,85,0,1300,132,0
7A06703             ,Q345B      ,1677,0.0007,0.0013,0.00034,0.00026,0.002,75400,0.0017,0.0136,0.00028,0.00024,0.0032,0.41,0.0024,0.009,0.018,0.028,0.0056,0.0037,0.004,0,0,24,0,0,0,0,75,0,0,0,0,68,0,1530,0,0
7A06702             ,Q345B      ,1710,0.00077,0.0012,0.00029,0.00032,0.003,76250,0.0018,0.0142,0.00028,0.00032,0.0035,0.43,0.0026,0.006,0.014,0.028,0.0045,0.0025,0.004,0,0,23,0,0,0,0,75,0,0,0,0,68,0,1450,0,0
7A06701             ,HRB400B    ,1672,0.00051,0.0011,0.00027,0.00033,0.002,70000,0.0022,0.0134,0.00031,0.00027,0.0038,0.458,0.0026,0.006,0.016,0.035,0.0043,0.0021,0.004,0,0,4,0,0,40,25,0,0,0,0,0,75,0,1450,132,0
7A06700             ,HRB400B    ,1684,0.00065,0.0013,0.00027,0.00034,0.002,74600,0.0023,0.0138,0.00028,0.0004,0.0037,0.475,0.003,0.006,0.014,0.035,0.0088,0.0064,0.0041,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1450,132,0
7A06699             ,HRB400B    ,1679,0.00084,0.0014,0.0002,0.00031,0.002,72600,0.0023,0.0141,0.00029,0.00033,0.004,0.48,0.0028,0.006,0.014,0.035,0.0046,0.0024,0.004,0,0,5,0,0,40,25,0,0,0,0,0,60,0,1500,132,0
7A06698             ,HRB400B    ,1686,0.00085,0.001,0.00025,0.00021,0.002,72250,0.0023,0.0132,0.00031,0.00036,0.0037,0.465,0.0032,0.006,0.014,0.034,0.0059,0.0036,0.0035,0,0,5,0,0,40,25,0,0,0,0,0,58,0,1500,132,0
7A06697             ,Q345B      ,1680,0.00065,0.0011,0.00032,0.00031,0.002,72200,0.0016,0.0138,0.00029,0.00037,0.003,0.403,0.0029,0.008,0.017,0.027,0.0044,0.0025,0.003,0,0,23,0,0,0,0,50,0,0,0,0,51,0,1450,0,0
7A06696             ,Q345B      ,1680,0.0007,0.0012,0.00028,0.00017,0.002,72200,0.0016,0.0136,0.00028,0.00028,0.0033,0.4,0.0028,0.007,0.015,0.026,0.0056,0.0036,0.004,0,0,21,0,0,0,0,50,0,0,0,0,51,0,1450,0,0
7A06695             ,HRB400B    ,1673,0.00061,0.0012,0.00032,0.00028,0.002,73050,0.0022,0.0134,0.00033,0.0003,0.0038,0.458,0.003,0.006,0.015,0.034,0.004,0.0018,0.0037,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1450,132,0
7A06694             ,HRB400B    ,1672,0.00067,0.0011,0.00032,0.00028,0.002,75850,0.0024,0.0131,0.00031,0.00025,0.0035,0.471,0.0021,0.005,0.014,0.033,0.0038,0.0016,0.0035,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1540,132,0
7A06693             ,HRB400B    ,1666,0.00035,0.0009,0.00032,0.0002,0.003,74300,0.0024,0.013,0.00031,0.00025,0.0036,0.471,0.0026,0.007,0.017,0.033,0.0038,0.0016,0.0037,0,0,5,0,0,40,50,0,0,0,0,0,85,0,1520,132,0
7A06692             ,HRB400B    ,1639,0.00037,0.001,0.00029,0.00024,0.002,71850,0.0023,0.0131,0.00032,0.00028,0.0036,0.463,0.0028,0.007,0.015,0.033,0.0038,0.0016,0.0037,0,0,4,0,0,40,50,0,0,0,0,0,82,0,1480,132,0
7A06691             ,Q345B      ,1656,0.00071,0.0011,0.00033,0.00019,0.002,72100,0.0017,0.0129,0.00028,0.00021,0.0031,0.397,0.002,0.008,0.017,0.026,0.0051,0.0032,0.004,0,0,23,0,0,0,0,125,0,0,0,0,85,0,1530,0,0
7A06690             ,Q345B      ,1802,0.00066,0.0009,0.00027,0.00021,0.002,71600,0.0018,0.0137,0.00027,0.00022,0.0035,0.42,0.0021,0.008,0.017,0.027,0.0062,0.0043,0.003,0,0,23,0,0,0,0,125,0,0,0,0,85,0,1520,0,0
7A06687             ,HRB400B    ,1672,0.00067,0.0011,0.00031,0.00026,0,72400,0.0024,0.0128,0.00034,0.00031,0.0035,0.47,0.0034,0.007,0.016,0.035,0.0037,0.0015,0.0031,0,0,4,0,0,38,50,0,0,200,0,0,68,0,1200,132,0
7A06686             ,HRB400B    ,1645,0.00069,0.0009,0.00039,0.00023,0.002,75050,0.0024,0.0128,0.00036,0.00026,0.0037,0.469,0.0034,0.01,0.015,0.032,0.0049,0.0027,0.0033,0,0,5,0,0,40,50,0,0,200,0,0,68,0,1240,132,0
7A06685             ,HRB400B    ,1663,0.0007,0.0008,0.00035,0.0002,0.002,73200,0.0023,0.0131,0.00035,0.00024,0.0037,0.463,0.0029,0.006,0.014,0.036,0.0037,0.0015,0.0041,0,0,5,0,0,39,25,0,0,200,0,0,68,0,1240,132,0
7A06684             ,HRB400B    ,1674,0.00079,0.0008,0.00038,0.00018,0.002,74800,0.0023,0.0129,0.00031,0.00022,0.0035,0.46,0.0031,0.011,0.014,0.034,0.1758,0.1405,0.004,0,0,11,0,0,32,25,0,0,200,0,0,64,0,1240,132,0
7A06683             ,HRB400B    ,1692,0.00047,0.0008,0.00029,0.00019,0.003,73700,0.0023,0.0134,0.00032,0.00027,0.0035,0.468,0.0026,0.011,0.015,0.036,0.0039,0.0017,0.0033,0,0,32,0,0,0,75,0,0,0,0,0,85,0,1570,132,0
7A06680             ,HRB400D    ,1668,0.00066,0.0009,0.00029,0.00015,0.002,74500,0.0023,0.0141,0.00033,0.00022,0.0039,0.48,0.003,0.008,0.017,0.033,0.0039,0.0017,0.0039,0,0,30,0,0,0,0,50,0,200,0,0,68,0,1420,132,0
7A06679             ,HRB400D    ,1664,0.00077,0.0008,0.00028,0.00014,0.002,69350,0.0025,0.0146,0.00031,0.0002,0.0043,0.51,0.0034,0.011,0.016,0.035,0.004,0.0018,0.0035,0,0,30,0,0,0,0,25,0,200,0,0,58,0,1320,132,0
7A06678             ,HRB400D    ,1664,0.00067,0.0008,0.00025,0.00016,0.002,73800,0.0024,0.0133,0.00028,0.00023,0.0036,0.476,0.0028,0.008,0.015,0.031,0.0054,0.0031,0.0034,0,0,9,0,0,30,0,50,0,200,0,0,85,0,1280,132,0
7A06677             ,HRB400D    ,1658,0.00088,0.0009,0.00028,0.00014,0.002,72550,0.0024,0.0133,0.00026,0.00017,0.0039,0.475,0.0028,0.007,0.016,0.03,0.006,0.0037,0.0035,0,0,9,0,0,30,25,0,0,200,0,0,54,0,1300,132,0
7A06676             ,HRB400D    ,1799,0.00067,0.0012,0.00029,0.00027,0.003,75250,0.0024,0.0131,0.00032,0.00029,0.0038,0.471,0.0027,0.006,0.013,0.03,0.006,0.0037,0.0034,0,0,8,0,0,30,50,0,0,200,0,0,68,0,1320,132,0
7A06675             ,HRB400D    ,1654,0.00067,0.001,0.00023,0.00023,0.003,77600,0.0024,0.0136,0.00028,0.00025,0.0039,0.48,0.0024,0.007,0.013,0.033,0.0048,0.0026,0.0032,0,0,10,0,0,32,25,0,0,200,0,0,68,0,1400,132,0
7A06674             ,HRB400D    ,1660,0.0005,0.0014,0.00029,0.00036,0.002,69050,0.0025,0.0141,0.00028,0.00036,0.0039,0.499,0.0026,0.006,0.013,0.033,0.0043,0.002,0.0035,0,0,9,0,0,28,50,0,0,200,0,0,95,0,1310,88,0
7A06673             ,HRB400D    ,1641,0.00069,0.0013,0.00027,0.00028,0.002,73450,0.0024,0.0138,0.00032,0.00035,0.0039,0.484,0.0027,0.004,0.014,0.032,0.1676,0.1335,0.0022,0,0,9,0,0,29,50,0,0,200,0,0,68,0,1340,132,0
7A06672             ,HRB400D    ,1686,0.0005,0.0011,0.00027,0.00027,0.002,74050,0.0023,0.0128,0.00029,0.00029,0.0036,0.456,0.0025,0.005,0.016,0.031,0.007,0.0044,0.002,0,0,9,0,0,28,50,0,0,200,0,0,85,0,1260,132,0
7A06669             ,HRB400D    ,1640,0.00064,0.0011,0.00038,0.0002,0.002,69200,0.0023,0.0137,0.00036,0.00026,0.0038,0.473,0.0028,0.007,0.018,0.033,0.0066,0.0041,0.0043,0,0,9,0,0,28,25,0,0,200,0,0,80,0,1300,132,0
7A06668             ,HRB400D    ,1651,0.0006,0.0011,0.00032,0.00017,0.002,69950,0.0024,0.0132,0.00034,0.00022,0.0037,0.474,0.0026,0.003,0.017,0.032,0.0108,0.0068,0.0038,0,0,9,0,0,28,25,0,0,200,0,0,80,0,1280,132,0
7A06667             ,HRB400D    ,1641,0.00069,0.0016,0.00033,0.0003,0.002,73200,0.0024,0.0138,0.00033,0.00033,0.0038,0.484,0.0029,0.007,0.015,0.031,0.0063,0.004,0.0029,0,0,9,0,0,28,25,0,0,200,0,0,80,0,1320,132,0
7A06666             ,HRB400D    ,1656,0.00056,0.0012,0.00026,0.00014,0.003,71550,0.0023,0.0137,0.00028,0.00021,0.0039,0.472,0.0026,0.007,0.016,0.032,0.2433,0.1909,0.0028,0,0,9,0,0,28,50,0,0,200,0,0,95,0,1310,132,0
7A06665             ,HRB400D    ,1638,0.00045,0.0013,0.00038,0.00048,0.003,70800,0.0023,0.0139,0.00034,0.00033,0.0037,0.474,0.0022,0.006,0.017,0.032,0.0062,0.0038,0.0021,0,0,9,0,0,28,50,0,0,200,0,0,95,0,1300,132,0
7A06664             ,HRB400D    ,1693,0.00072,0.0011,0.00032,0.00028,0.003,70900,0.0024,0.014,0.00033,0.00032,0.0039,0.487,0.0024,0.006,0.014,0.033,0.0069,0.0043,0.0034,0,0,9,0,0,28,25,0,0,200,0,0,80,0,1320,132,0
7A06663             ,HRB400D    ,1679,0.00053,0.001,0.0003,0.00022,0.002,73300,0.0023,0.0132,0.00036,0.00025,0.0038,0.464,0.0025,0.006,0.014,0.033,0.0069,0.0043,0.0054,0,0,9,0,0,28,50,0,0,200,0,0,85,0,1330,132,0
7A06662             ,HRB400D    ,1653,0.0007,0.0009,0.00038,0.00024,0.002,74550,0.0023,0.013,0.00037,0.00023,0.0033,0.458,0.0019,0.004,0.014,0.031,0.0062,0.0039,0.0014,0,0,9,0,0,28,50,0,0,200,0,0,75,0,1330,88,0
7A06661             ,HRB400D    ,1684,0.00072,0.0007,0.00026,0.00022,0.002,67050,0.0023,0.0133,0.00035,0.00024,0.0035,0.462,0.0016,0.004,0.01,0.032,0.0064,0.004,0.0011,0,0,8,0,0,27,25,0,0,0,0,0,68,0,1390,88,0
7A06660             ,HRB400D    ,1682,0.00066,0.0011,0.00024,0.00022,0.002,70850,0.0023,0.0132,0.00033,0.00022,0.0035,0.463,0.0023,0.004,0.017,0.034,0.0068,0.0042,0.0028,0,0,8,0,0,30,25,0,0,0,0,0,68,0,1505,88,0
7A06659             ,HRB400D    ,1691,0.00094,0.0013,0.00029,0.0002,0.002,71700,0.0023,0.0132,0.00035,0.00028,0.0034,0.463,0.0023,0.005,0.017,0.033,0.0062,0.0039,0.0012,0,0,9,0,0,30,0,0,0,0,0,0,51,0,1450,88,20
